aya_serial_in_quran,sura_number,sura_name,aya_number_in_sura,aya_text_tashkeel,aya_text_plain,aya_text_uthmani,num_words_tashkeel,num_words_plain,num_words_uthmani,matchin_words_count,makkian_aya,Location
1,1,الفاتحة,1,بِسْمِ اللَّهِ الرَّحْمَنِ الرَّحِيمِ,بسم الله الرحمن الرحيم,بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,4,4,4,TRUE,1,Makkah
2,1,الفاتحة,2,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,الحمد لله رب العالمين,ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَٰلَمِينَ,4,4,4,TRUE,1,Makkah
3,1,الفاتحة,3,الرَّحْمَنِ الرَّحِيمِ,الرحمن الرحيم,ٱلرَّحْمَٰنِ ٱلرَّحِيمِ,2,2,2,TRUE,1,Makkah
4,1,الفاتحة,4,مَالِكِ يَوْمِ الدِّينِ,مالك يوم الدين,مَٰلِكِ يَوْمِ ٱلدِّينِ,3,3,3,TRUE,1,Makkah
5,1,الفاتحة,5,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,إياك نعبد وإياك نستعين,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,4,4,4,TRUE,1,Makkah
6,1,الفاتحة,6,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,اهدنا الصراط المستقيم,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,3,3,3,TRUE,1,Makkah
7,1,الفاتحة,7,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,9,9,9,TRUE,1,Makkah
8,2,البقرة,1,الم,الم,الٓمٓ,1,1,1,TRUE,0,Madina
9,2,البقرة,2,ذَلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ هُدًى لِلْمُتَّقِينَ,ذلك الكتاب لا ريب فيه هدى للمتقين,ذَٰلِكَ ٱلْكِتَٰبُ لَا رَيْبَ فِيهِ هُدًى لِّلْمُتَّقِينَ,7,7,7,TRUE,0,Madina
10,2,البقرة,3,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,ٱلَّذِينَ يُؤْمِنُونَ بِٱلْغَيْبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقْنَٰهُمْ يُنفِقُونَ,8,8,8,TRUE,0,Madina
11,2,البقرة,4,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآَخِرَةِ هُمْ يُوقِنُونَ,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,وَٱلَّذِينَ يُؤْمِنُونَ بِمَآ أُنزِلَ إِلَيْكَ وَمَآ أُنزِلَ مِن قَبْلِكَ وَبِٱلْءَاخِرَةِ هُمْ يُوقِنُونَ,12,12,12,TRUE,0,Madina
12,2,البقرة,5,أُولَئِكَ عَلَى هُدًى مِنْ رَبِّهِمْ وَأُولَئِكَ هُمُ الْمُفْلِحُونَ,أولئك على هدى من ربهم وأولئك هم المفلحون,أُو۟لَٰٓئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ وَأُو۟لَٰٓئِكَ هُمُ ٱلْمُفْلِحُونَ,8,8,8,TRUE,0,Madina
13,2,البقرة,6,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,إِنَّ ٱلَّذِينَ كَفَرُوا۟ سَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,11,11,11,TRUE,0,Madina
14,2,البقرة,7,خَتَمَ اللَّهُ عَلَى قُلُوبِهِمْ وَعَلَى سَمْعِهِمْ وَعَلَى أَبْصَارِهِمْ غِشَاوَةٌ وَلَهُمْ عَذَابٌ عَظِيمٌ,ختم الله على قلوبهم وعلى سمعهم وعلى أبصارهم غشاوة ولهم عذاب عظيم,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ وَعَلَىٰٓ أَبْصَٰرِهِمْ غِشَٰوَةٌ وَلَهُمْ عَذَابٌ عَظِيمٌ,12,12,12,TRUE,0,Madina
15,2,البقرة,8,وَمِنَ النَّاسِ مَنْ يَقُولُ آَمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآَخِرِ وَمَا هُمْ بِمُؤْمِنِينَ,ومن الناس من يقول آمنا بالله وباليوم الآخر وما هم بمؤمنين,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلْيَوْمِ ٱلْءَاخِرِ وَمَا هُم بِمُؤْمِنِينَ,11,11,11,TRUE,0,Madina
16,2,البقرة,9,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آَمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنْفُسَهُمْ وَمَا يَشْعُرُونَ,يخادعون الله والذين آمنوا وما يخدعون إلا أنفسهم وما يشعرون,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُوا۟ وَمَا يَخْدَعُونَ إِلَّآ أَنفُسَهُمْ وَمَا يَشْعُرُونَ,10,10,10,TRUE,0,Madina
