,sura_num,aya_in_sura,aya_num,words_in_aya,word_num,uthmani,uthmani_min
0,1,7,1,4,1,بِسْمِ,بِسمِ
1,1,7,1,4,2,ٱللَّهِ,اللَّهِ
2,1,7,1,4,3,ٱلرَّحْمَٰنِ,الرَّحمٰنِ
3,1,7,1,4,4,ٱلرَّحِيمِ,الرَّحيمِ
4,1,7,2,4,1,ٱلْحَمْدُ,الحَمدُ
5,1,7,2,4,2,لِلَّهِ,لِلَّهِ
6,1,7,2,4,3,رَبِّ,رَبِّ
7,1,7,2,4,4,ٱلْعَٰلَمِينَ,العٰلَمينَ
8,1,7,3,2,1,ٱلرَّحْمَٰنِ,الرَّحمٰنِ
9,1,7,3,2,2,ٱلرَّحِيمِ,الرَّحيمِ
10,1,7,4,3,1,مَٰلِكِ,مٰلِكِ
11,1,7,4,3,2,يَوْمِ,يَومِ
12,1,7,4,3,3,ٱلدِّينِ,الدّينِ
13,1,7,5,4,1,إِيَّاكَ,إِيّاكَ
14,1,7,5,4,2,نَعْبُدُ,نَعبُدُ
15,1,7,5,4,3,وَإِيَّاكَ,وَإِيّاكَ
16,1,7,5,4,4,نَسْتَعِينُ,نَستَعينُ
17,1,7,6,3,1,ٱهْدِنَا,اهدِنَا
18,1,7,6,3,2,ٱلصِّرَٰطَ,الصِّرٰطَ
19,1,7,6,3,3,ٱلْمُسْتَقِيمَ,المُستَقيمَ
20,1,7,7,9,1,صِرَٰطَ,صِرٰطَ
21,1,7,7,9,2,ٱلَّذِينَ,الَّذينَ
22,1,7,7,9,3,أَنْعَمْتَ,أَنعَمتَ
23,1,7,7,9,4,عَلَيْهِمْ,عَلَيهِم
24,1,7,7,9,5,غَيْرِ,غَيرِ
25,1,7,7,9,6,ٱلْمَغْضُوبِ,المَغضوبِ
26,1,7,7,9,7,عَلَيْهِمْ,عَلَيهِم
27,1,7,7,9,8,وَلَا,وَلَا
28,1,7,7,9,9,ٱلضَّآلِّينَ,الضّالّينَ
29,2,286,1,1,1,الٓمٓ,الم
30,2,286,2,7,1,ذَٰلِكَ,ذٰلِكَ
31,2,286,2,7,2,ٱلْكِتَٰبُ,الكِتٰبُ
32,2,286,2,7,3,لَا,لا
33,2,286,2,7,4,رَيْبَ,رَيبَ
34,2,286,2,7,5,فِيهِ,فيهِ
35,2,286,2,7,6,هُدًى,هُدًى
36,2,286,2,7,7,لِّلْمُتَّقِينَ,لِلمُتَّقينَ
37,2,286,3,8,1,ٱلَّذِينَ,الَّذينَ
38,2,286,3,8,2,يُؤْمِنُونَ,يُؤمِنونَ
39,2,286,3,8,3,بِٱلْغَيْبِ,بِالغَيبِ
40,2,286,3,8,4,وَيُقِيمُونَ,وَيُقيمونَ
41,2,286,3,8,5,ٱلصَّلَوٰةَ,الصَّلوٰةَ
42,2,286,3,8,6,وَمِمَّا,وَمِمّا
43,2,286,3,8,7,رَزَقْنَٰهُمْ,رَزَقنٰهُم
44,2,286,3,8,8,يُنفِقُونَ,يُنفِقونَ
45,2,286,4,12,1,وَٱلَّذِينَ,وَالَّذينَ
46,2,286,4,12,2,يُؤْمِنُونَ,يُؤمِنونَ
47,2,286,4,12,3,بِمَآ,بِما
48,2,286,4,12,4,أُنزِلَ,أُنزِلَ
49,2,286,4,12,5,إِلَيْكَ,إِلَيكَ
50,2,286,4,12,6,وَمَآ,وَما
51,2,286,4,12,7,أُنزِلَ,أُنزِلَ
52,2,286,4,12,8,مِن,مِن
53,2,286,4,12,9,قَبْلِكَ,قَبلِكَ
54,2,286,4,12,10,وَبِٱلْءَاخِرَةِ,وَبِالءاخِرَةِ
55,2,286,4,12,11,هُمْ,هُم
56,2,286,4,12,12,يُوقِنُونَ,يوقِنونَ
57,2,286,5,8,1,أُو۟لَٰٓئِكَ,أُولٰئِكَ
58,2,286,5,8,2,عَلَىٰ,عَلىٰ
59,2,286,5,8,3,هُدًى,هُدًى
60,2,286,5,8,4,مِّن,مِن
61,2,286,5,8,5,رَّبِّهِمْ,رَبِّهِم
62,2,286,5,8,6,وَأُو۟لَٰٓئِكَ,وَأُولٰئِكَ
63,2,286,5,8,7,هُمُ,هُمُ
64,2,286,5,8,8,ٱلْمُفْلِحُونَ,المُفلِحونَ
65,2,286,6,11,1,إِنَّ,إِنَّ
66,2,286,6,11,2,ٱلَّذِينَ,الَّذينَ
67,2,286,6,11,3,كَفَرُوا۟,كَفَروا
68,2,286,6,11,4,سَوَآءٌ,سَواءٌ
69,2,286,6,11,5,عَلَيْهِمْ,عَلَيهِم
70,2,286,6,11,6,ءَأَنذَرْتَهُمْ,ءَأَنذَرتَهُم
71,2,286,6,11,7,أَمْ,أَم
72,2,286,6,11,8,لَمْ,لَم
73,2,286,6,11,9,تُنذِرْهُمْ,تُنذِرهُم
74,2,286,6,11,10,لَا,لا
75,2,286,6,11,11,يُؤْمِنُونَ,يُؤمِنونَ
76,2,286,7,12,1,خَتَمَ,خَتَمَ
77,2,286,7,12,2,ٱللَّهُ,اللَّهُ
78,2,286,7,12,3,عَلَىٰ,عَلىٰ
79,2,286,7,12,4,قُلُوبِهِمْ,قُلوبِهِم
80,2,286,7,12,5,وَعَلَىٰ,وَعَلىٰ
81,2,286,7,12,6,سَمْعِهِمْ,سَمعِهِم
82,2,286,7,12,7,وَعَلَىٰٓ,وَعَلىٰ
83,2,286,7,12,8,أَبْصَٰرِهِمْ,أَبصٰرِهِم
84,2,286,7,12,9,غِشَٰوَةٌ,غِشٰوَةٌ
85,2,286,7,12,10,وَلَهُمْ,وَلَهُم
86,2,286,7,12,11,عَذَابٌ,عَذابٌ
87,2,286,7,12,12,عَظِيمٌ,عَظيمٌ
88,2,286,8,11,1,وَمِنَ,وَمِنَ
89,2,286,8,11,2,ٱلنَّاسِ,النّاسِ
90,2,286,8,11,3,مَن,مَن
91,2,286,8,11,4,يَقُولُ,يَقولُ
92,2,286,8,11,5,ءَامَنَّا,ءامَنّا
93,2,286,8,11,6,بِٱللَّهِ,بِاللَّهِ
94,2,286,8,11,7,وَبِٱلْيَوْمِ,وَبِاليَومِ
95,2,286,8,11,8,ٱلْءَاخِرِ,الءاخِرِ
96,2,286,8,11,9,وَمَا,وَما
97,2,286,8,11,10,هُم,هُم
98,2,286,8,11,11,بِمُؤْمِنِينَ,بِمُؤمِنينَ
99,2,286,9,10,1,يُخَٰدِعُونَ,يُخٰدِعونَ
100,2,286,9,10,2,ٱللَّهَ,اللَّهَ
101,2,286,9,10,3,وَٱلَّذِينَ,وَالَّذينَ
102,2,286,9,10,4,ءَامَنُوا۟,ءامَنوا
103,2,286,9,10,5,وَمَا,وَما
104,2,286,9,10,6,يَخْدَعُونَ,يَخدَعونَ
105,2,286,9,10,7,إِلَّآ,إِلّا
106,2,286,9,10,8,أَنفُسَهُمْ,أَنفُسَهُم
107,2,286,9,10,9,وَمَا,وَما
108,2,286,9,10,10,يَشْعُرُونَ,يَشعُرونَ
109,2,286,10,12,1,فِى,فى
110,2,286,10,12,2,قُلُوبِهِم,قُلوبِهِم
111,2,286,10,12,3,مَّرَضٌ,مَرَضٌ
112,2,286,10,12,4,فَزَادَهُمُ,فَزادَهُمُ
113,2,286,10,12,5,ٱللَّهُ,اللَّهُ
114,2,286,10,12,6,مَرَضًا,مَرَضًا
115,2,286,10,12,7,وَلَهُمْ,وَلَهُم
116,2,286,10,12,8,عَذَابٌ,عَذابٌ
117,2,286,10,12,9,أَلِيمٌۢ,أَليمٌ
118,2,286,10,12,10,بِمَا,بِما
119,2,286,10,12,11,كَانُوا۟,كانوا
120,2,286,10,12,12,يَكْذِبُونَ,يَكذِبونَ
121,2,286,11,11,1,وَإِذَا,وَإِذا
122,2,286,11,11,2,قِيلَ,قيلَ
123,2,286,11,11,3,لَهُمْ,لَهُم
124,2,286,11,11,4,لَا,لا
125,2,286,11,11,5,تُفْسِدُوا۟,تُفسِدوا
126,2,286,11,11,6,فِى,فِى
127,2,286,11,11,7,ٱلْأَرْضِ,الأَرضِ
128,2,286,11,11,8,قَالُوٓا۟,قالوا
129,2,286,11,11,9,إِنَّمَا,إِنَّما
130,2,286,11,11,10,نَحْنُ,نَحنُ
131,2,286,11,11,11,مُصْلِحُونَ,مُصلِحونَ
132,2,286,12,7,1,أَلَآ,أَلا
