sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
1,0.0,0.0,1.0,0.0,2.0,0.0,23.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,1.0,8.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,0.0,1.0,3.0,22.0,15.0,11.0,5.0,4.0,0.0,14.0,143.0,29.0,26.0,0.0,3.0,14.0,4.0
2,125.0,126.0,657.0,47.0,389.0,94.0,3540.0,918.0,220.0,966.0,128.0,200.0,328.0,191.0,458.0,330.0,874.0,107.0,451.0,168.0,155.0,133.0,99.0,62.0,797.0,75.0,751.0,553.0,832.0,3201.0,2192.0,2019.0,1197.0,2058.0,208.0,1596.0,26245.0,6140.0,4920.0,392.0,1186.0,1596.0,2058.0
3,68.0,74.0,359.0,39.0,221.0,64.0,2004.0,574.0,103.0,554.0,52.0,93.0,171.0,104.0,252.0,218.0,508.0,67.0,227.0,86.0,88.0,66.0,50.0,36.0,383.0,62.0,396.0,306.0,485.0,1892.0,1246.0,1232.0,664.0,1147.0,95.0,998.0,14984.0,3501.0,2753.0,245.0,657.0,998.0,1147.0
4,71.0,64.0,433.0,55.0,248.0,54.0,2263.0,478.0,117.0,560.0,75.0,136.0,196.0,128.0,301.0,181.0,489.0,51.0,306.0,82.0,122.0,101.0,65.0,45.0,404.0,62.0,503.0,255.0,582.0,1962.0,1303.0,1334.0,767.0,1297.0,119.0,1123.0,16332.0,3763.0,3127.0,244.0,677.0,1123.0,1297.0
5,60.0,64.0,350.0,22.0,176.0,46.0,1712.0,394.0,88.0,391.0,59.0,93.0,171.0,85.0,231.0,182.0,379.0,57.0,214.0,63.0,74.0,53.0,52.0,18.0,338.0,47.0,291.0,265.0,384.0,1460.0,1039.0,974.0,530.0,919.0,81.0,844.0,12206.0,2837.0,2383.0,192.0,479.0,844.0,919.0
6,80.0,60.0,341.0,28.0,202.0,38.0,1558.0,453.0,71.0,403.0,58.0,117.0,160.0,75.0,199.0,207.0,504.0,66.0,212.0,132.0,69.0,66.0,52.0,48.0,369.0,50.0,294.0,271.0,468.0,1448.0,1058.0,1010.0,609.0,989.0,112.0,849.0,12726.0,3056.0,2273.0,206.0,474.0,849.0,989.0
7,76.0,83.0,421.0,26.0,190.0,53.0,1957.0,508.0,107.0,464.0,61.0,165.0,164.0,129.0,246.0,229.0,532.0,41.0,299.0,83.0,97.0,62.0,56.0,43.0,400.0,67.0,357.0,356.0,466.0,1527.0,1161.0,1303.0,628.0,1097.0,107.0,874.0,14435.0,3341.0,2758.0,238.0,571.0,874.0,1097.0
8,22.0,25.0,129.0,14.0,90.0,25.0,650.0,173.0,31.0,161.0,18.0,38.0,52.0,34.0,87.0,95.0,185.0,23.0,70.0,27.0,29.0,27.0,22.0,8.0,162.0,25.0,153.0,109.0,200.0,653.0,455.0,437.0,258.0,474.0,36.0,388.0,5385.0,1242.0,930.0,86.0,192.0,388.0,474.0
9,26.0,40.0,284.0,37.0,155.0,38.0,1421.0,350.0,87.0,307.0,31.0,102.0,138.0,86.0,207.0,145.0,412.0,55.0,194.0,49.0,63.0,61.0,34.0,29.0,313.0,37.0,308.0,216.0,301.0,1347.0,964.0,878.0,652.0,973.0,68.0,707.0,11115.0,2505.0,1968.0,141.0,394.0,707.0,973.0
10,40.0,44.0,193.0,20.0,128.0,26.0,991.0,238.0,45.0,251.0,30.0,83.0,98.0,40.0,126.0,115.0,255.0,26.0,129.0,42.0,32.0,43.0,17.0,32.0,211.0,20.0,216.0,181.0,260.0,912.0,651.0,689.0,309.0,522.0,61.0,513.0,7589.0,1839.0,1417.0,130.0,296.0,513.0,522.0
