sura,ء,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ـ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,ً,ٌ,ٍ,َ,ُ,ِ,ّ,ْ,ٓ,ٔ,ٰ,ٱ,ۜ,۟,۠,ۢ,ۣ,ۥ,ۦ,ۨ,۪,۫,۬,ۭ,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
1,0.0,1.0,0.0,2.0,0.0,5.0,4.0,0.0,3.0,0.0,0.0,5.0,0.0,4.0,1.0,8.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,6.0,2.0,0.0,0.0,1.0,3.0,22.0,15.0,11.0,5.0,4.0,0.0,14.0,0.0,0.0,0.0,45.0,6.0,31.0,14.0,21.0,1.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,29.0,28.0,0.0,3.0,14.0,4.0
2,251.0,641.0,47.0,389.0,74.0,1972.0,918.0,216.0,970.0,128.0,200.0,328.0,191.0,458.0,330.0,874.0,107.0,450.0,168.0,156.0,133.0,99.0,62.0,797.0,75.0,35.0,751.0,553.0,832.0,3198.0,2192.0,2019.0,1197.0,2082.0,450.0,1344.0,204.0,262.0,159.0,9684.0,3110.0,3533.0,1843.0,2883.0,406.0,36.0,727.0,1212.0,1.0,396.0,1.0,57.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,5.0,49406.0,6116.0,5391.0,408.0,1186.0,1444.0,2182.0
3,133.0,357.0,39.0,221.0,51.0,1028.0,574.0,100.0,557.0,52.0,93.0,171.0,104.0,252.0,218.0,508.0,67.0,227.0,86.0,88.0,66.0,50.0,36.0,383.0,62.0,24.0,396.0,306.0,485.0,1888.0,1246.0,1232.0,664.0,1149.0,260.0,844.0,112.0,126.0,87.0,5330.0,1767.0,2211.0,1114.0,1645.0,214.0,24.0,427.0,745.0,0.0,210.0,1.0,35.0,0.0,27.0,39.0,0.0,0.0,0.0,0.0,1.0,28132.0,3481.0,3038.0,247.0,657.0,883.0,1176.0
4,126.0,429.0,55.0,248.0,45.0,1325.0,478.0,116.0,561.0,75.0,136.0,196.0,128.0,301.0,181.0,489.0,51.0,306.0,82.0,122.0,101.0,65.0,45.0,404.0,62.0,22.0,503.0,255.0,582.0,1955.0,1303.0,1334.0,767.0,1310.0,223.0,1027.0,390.0,79.0,89.0,5788.0,1835.0,2264.0,1097.0,1716.0,255.0,22.0,465.0,677.0,0.0,246.0,0.0,29.0,0.0,40.0,52.0,0.0,0.0,0.0,0.0,4.0,30456.0,3747.0,3367.0,248.0,677.0,1079.0,1350.0
5,123.0,345.0,25.0,176.0,32.0,912.0,394.0,87.0,392.0,59.0,93.0,171.0,85.0,231.0,182.0,379.0,57.0,214.0,63.0,74.0,53.0,52.0,18.0,338.0,47.0,17.0,291.0,265.0,384.0,1460.0,1039.0,974.0,530.0,926.0,198.0,738.0,102.0,86.0,54.0,4490.0,1421.0,1624.0,853.0,1357.0,224.0,17.0,348.0,608.0,0.0,207.0,1.0,20.0,0.0,36.0,22.0,0.0,0.0,0.0,0.0,0.0,22894.0,2804.0,2587.0,197.0,479.0,760.0,962.0
6,136.0,332.0,30.0,203.0,31.0,936.0,453.0,70.0,404.0,58.0,117.0,160.0,75.0,199.0,207.0,504.0,66.0,212.0,132.0,69.0,66.0,52.0,48.0,369.0,50.0,17.0,294.0,271.0,468.0,1444.0,1058.0,1010.0,609.0,993.0,283.0,694.0,106.0,83.0,113.0,4806.0,1550.0,1748.0,867.0,1496.0,233.0,17.0,381.0,451.0,0.0,142.0,4.0,15.0,0.0,48.0,45.0,0.0,0.0,0.0,0.0,1.0,24226.0,3050.0,2586.0,214.0,474.0,739.0,1041.0
7,142.0,416.0,26.0,191.0,42.0,1213.0,508.0,105.0,466.0,61.0,165.0,164.0,129.0,246.0,229.0,532.0,41.0,298.0,83.0,98.0,62.0,56.0,43.0,400.0,67.0,32.0,357.0,356.0,466.0,1526.0,1161.0,1303.0,628.0,1102.0,299.0,708.0,110.0,91.0,85.0,5507.0,1619.0,1908.0,894.0,1707.0,274.0,32.0,439.0,524.0,1.0,210.0,4.0,19.0,0.0,52.0,44.0,0.0,0.0,0.0,0.0,4.0,27245.0,3320.0,3082.0,242.0,571.0,752.0,1154.0
8,43.0,128.0,14.0,90.0,23.0,349.0,173.0,30.0,162.0,18.0,38.0,52.0,34.0,87.0,95.0,185.0,23.0,70.0,27.0,29.0,27.0,22.0,8.0,162.0,25.0,7.0,153.0,109.0,200.0,653.0,455.0,437.0,258.0,475.0,89.0,340.0,41.0,56.0,27.0,1949.0,665.0,750.0,422.0,572.0,87.0,7.0,117.0,259.0,0.0,107.0,0.0,7.0,0.0,20.0,7.0,0.0,0.0,0.0,0.0,1.0,10184.0,1233.0,1032.0,87.0,192.0,347.0,495.0
9,67.0,278.0,37.0,155.0,29.0,706.0,350.0,87.0,307.0,31.0,102.0,138.0,86.0,207.0,145.0,412.0,55.0,194.0,49.0,63.0,61.0,34.0,29.0,313.0,37.0,14.0,308.0,216.0,301.0,1347.0,964.0,878.0,652.0,985.0,160.0,625.0,92.0,100.0,55.0,3926.0,1451.0,1525.0,739.0,1232.0,134.0,14.0,302.0,532.0,0.0,192.0,0.0,16.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,20802.0,2498.0,2133.0,147.0,394.0,660.0,1020.0
10,81.0,186.0,23.0,130.0,16.0,588.0,238.0,43.0,253.0,30.0,83.0,98.0,40.0,126.0,115.0,255.0,26.0,129.0,42.0,32.0,43.0,17.0,32.0,211.0,20.0,15.0,216.0,181.0,260.0,909.0,651.0,689.0,309.0,529.0,160.0,425.0,52.0,34.0,54.0,2801.0,893.0,1080.0,552.0,864.0,146.0,15.0,210.0,320.0,0.0,86.0,3.0,10.0,0.0,23.0,28.0,0.0,0.0,0.0,0.0,2.0,14374.0,1833.0,1594.0,135.0,296.0,453.0,552.0
